Life expectancy at birth,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ecuador,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,,,,,,,,,,47.268,47.526,48.055,48.614,49.201,49.816,50.456,51.117,51.793,52.471,53.135,53.772,54.366,54.907,55.395,55.834,56.234,56.614,56.993,57.38,57.784,58.207,58.647,59.102,59.575,60.072,60.595,61.145,61.719,62.313,62.926,63.554,64.189,64.825,65.455,66.072,66.671,67.25,67.808,68.344,68.86,69.359,69.846,70.323,70.792,71.254,71.709,72.156,72.588,73.001,73.386,73.732,74.034,74.293,74.51,74.694,74.854,75.002,75.15,75.302,75.463
Egypt,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,30.7,30.6,35.4,32.5,31,32.3,31.5,33.2,31.3,34.5,34.8,36,34.4,35.7,30.5,29.8,33.4,32.3,34.4,36.1,36.2,36.7,42.066,42.274,42.689,43.102,43.512,43.92,44.326,44.731,45.135,45.54,45.949,46.363,46.786,47.217,47.66,48.112,48.572,49.037,49.507,49.983,50.47,50.973,51.495,52.038,52.6,53.179,53.771,54.371,54.973,55.574,56.167,56.75,57.324,57.891,58.455,59.019,59.588,60.17,60.768,61.386,62.03,62.704,63.406,64.129,64.867,65.611,66.354,67.085,67.794,68.471,69.106,69.691,70.228,70.718,71.161,71.557,71.909,72.223,72.507,72.767,73.008
El Salvador,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,,,,,,,,,,,,,,,,43.244,43.704,44.614,45.509,46.389,47.253,48.101,48.932,49.743,50.531,51.291,52.018,52.707,53.352,53.949,54.495,54.992,55.441,55.844,56.2,56.503,56.746,56.928,57.053,57.126,57.137,57.069,56.936,56.771,56.622,56.571,56.706,57.078,57.708,58.589,59.694,60.967,62.316,63.648,64.9,66.01,66.936,67.686,68.276,68.714,69.021,69.229,69.384,69.526,69.678,69.856,70.06,70.273,70.484,70.694,70.904,71.115,71.328,71.543,71.76,71.978
Equatorial Guinea,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,,,,33.882,34.032,34.333,34.633,34.934,35.235,35.535,35.837,36.138,36.439,36.74,37.041,37.342,37.642,37.943,38.244,38.545,38.848,39.151,39.456,39.76,40.064,40.366,40.668,40.969,41.272,41.577,41.886,42.202,42.525,42.859,43.206,43.566,43.938,44.319,44.712,45.116,45.528,45.941,46.349,46.741,47.108,47.444,47.742,47.999,48.208,48.364,48.473,48.547,48.599,48.648,48.712,48.808,48.944,49.127,49.354,49.619,49.905,50.2,50.496,50.792
Eritrea,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,,,,35.08,35.292,35.716,36.14,36.564,36.989,37.413,37.838,38.263,38.687,39.11,39.531,39.949,40.365,40.777,41.191,41.614,42.046,42.48,42.907,43.308,43.665,43.962,44.19,44.345,44.418,44.402,44.315,44.186,44.045,43.932,43.889,43.944,44.117,44.42,44.854,45.405,46.041,46.732,47.463,48.226,49.024,49.858,50.721,51.597,52.466,53.306,54.103,54.847,55.534,56.162,56.74,57.285,57.81,58.322,58.825,59.32,59.803,60.272,60.728,61.169
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,43.1,,,,,,,,,,,,,,,,,,,,,,51.7,,,,,,,,,,,,,56.272,,,,,,,,,,,,,,,64.36,64.602,65.085,65.571,66.06,66.549,67.039,67.525,68.002,68.64,69.34,69.66,69.84,69.9,70.64,70.71,70.68,70.97,70.59,70.28,70.39,70.59,70.35,70.7,70.8,70.12,69.74,69.86,69.72,69.5,69.59,69.46,69.86,69.78,69.65,69.79,70.93,70.94,70.98,70.53,69.9,69.8,69.14,68.19,66.67,67.72,69.94,70.13,69.72,70.5,70.8,70.67,71.23,71.82,72.29,72.96,73.13,73.14,73.23,74.336,74.606
Ethiopia,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,33.302,33.471,33.835,34.252,34.721,35.241,35.811,36.425,37.075,37.747,38.423,39.086,39.715,40.293,40.813,41.269,41.668,42.024,42.351,42.654,42.945,43.231,43.512,43.782,44.033,44.233,44.344,44.354,44.267,44.108,43.929,43.794,43.757,43.857,44.105,44.49,44.979,45.517,46.056,46.575,47.063,47.52,47.966,48.416,48.871,49.332,49.794,50.257,50.728,51.213,51.731,52.304,52.942,53.643,54.397,55.185,55.98,56.753,57.481,58.148,58.746
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,51.106,51.388,51.943,52.484,53.009,53.518,54.013,54.493,54.959,55.413,55.855,56.288,56.713,57.131,57.542,57.948,58.347,58.739,59.121,59.494,59.855,60.205,60.544,60.871,61.189,61.498,61.801,62.1,62.395,62.687,62.976,63.26,63.539,63.809,64.072,64.328,64.576,64.817,65.053,65.283,65.509,65.73,65.947,66.16,66.369,66.575,66.777,66.976,67.172,67.365,67.554,67.739,67.919,68.094,68.264,68.426,68.579,68.722,68.858,68.987,69.115
Finland,31.8,,,,,31.7664,,,,,,,,,,35.7688,,,,,,,,,,38.3568,,,,,,,,,,34.6104,,,,,,,,,,40.4008,,,,,,,,,,35.0592,,,,,,,,,,32.0664,,,,,,,,,,41.5688,,,39.17,44.95,39.67,37.65,40.46,42.79,42.87,41.3,40.92,45.6,45.16,44.93,44.61,42.57,39.73,43.34,45.22,47.64,46.56,48.16,48.07,44.4,41.8,42.87,46.23,46.64,47.21,46.04,47.07,46.98,46.15,48.67,48.53,48.73,49.13,49.05,49.73,49.54,48.03,46.49,32.71,43.07,47.55,52.41,51.92,52.52,50.22,53.42,53.83,51.86,53.71,51.28,54.47,54.88,55.79,55.45,56.04,57.36,56.16,57.1,57.2,54.67,46.65,46.5,53.9,56.27,48,57.19,60.27,60.53,61.99,61.88,64.24,65.67,66.55,66.61,67.57,67.37,67.99,67.49,68.63,68.81,69.01,69.04,68.75,69.16,69.37,69.13,69.65,69.83,69.79,69.67,70.36,70.18,70.87,71.38,71.3,71.85,72,72.52,73.08,73.37,73.66,73.98,74.55,74.46,74.77,74.44,74.8,74.83,74.79,75.01,75.04,75.45,75.7,75.94,76.64,76.66,76.94,77.13,77.34,77.53,77.76,78.23,78.37,78.63,78.96,79.09,79.49,79.53,79.699,79.623,79.803
France,32.4,,,,,,35,34.2,34.5,35,37.4,36.1,31.7,31.2,30.1,36.5,40.04,39.18,38.53,37.25,39.21,39.83,38.3,39.97,39.14,38.53,37.76,39.35,37.53,39.36,39.56,39.65,35.81,38.83,35.01,39.48,41.95,39.38,39.33,40.91,40.37,40.68,40.01,40.75,42.29,43.58,40.67,40.41,40.29,35.91,43.28,41.77,41.32,42.52,36.13,37.54,40.18,39.59,39.67,35.26,43.33,40.45,42.7,41.73,42.01,40.16,41.83,42.33,40.23,41.14,36.41,29.59,42.64,41.75,44.3,43.17,43.55,44.33,43.36,43.99,42.73,43.55,43.16,43.28,42.52,43.97,43.17,43.75,44.15,45.56,43.36,44.11,43.57,43.6,45.53,45.2,47.56,47.93,45.99,45.23,45.08,47.01,48.01,48.43,48.08,48.36,47.74,48.28,49.3,50.01,51.37,48.17,51.62,51.35,37.85,35.63,39.51,42.6,34.34,47.52,51.6,52.69,54.92,54.65,55.27,54.39,54.03,55.8,55.44,54.27,56.87,56.93,57.26,57.7,58.36,58.32,58.81,59.17,58.97,59.62,49.45,57.67,57.44,53.33,47.19,54.96,62.38,63.98,65.83,64.92,66.39,66.12,67.41,67.34,68.21,68.47,68.5,68.93,70.16,70.19,70.4,70.98,70.51,70.36,71.32,71.15,71.56,71.55,71.54,71.27,72.16,72.13,72.38,72.54,72.89,72.98,73.22,73.83,73.95,74.26,74.35,74.51,74.89,74.87,75.37,75.47,75.75,76.34,76.57,76.69,76.98,77.17,77.46,77.5,77.94,78.06,78.27,78.62,78.79,78.92,79.23,79.41,79.57,79.57,80.5,80.47,80.88,81.14,81.254,81.216,81.387
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.25,52.515,53.048,53.583,54.122,54.665,55.217,55.783,56.371,56.999,57.684,58.441,59.278,60.187,61.143,62.1,63.001,63.798,64.46,64.973,65.337,65.565,65.706,65.808,65.905,66.037,66.237,66.513,66.867,67.296,67.786,68.31,68.835,69.332,69.789,70.201,70.574,70.924,71.266,71.603,71.939,72.275,72.608,72.935,73.252,73.556,73.84,74.103,74.341,74.556,74.748,74.921,75.08,75.231,75.377,75.523,75.672,75.824,75.979,76.137,76.297
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.515,46.442,48.208,49.793,51.198,52.423,53.474,54.357,55.086,55.683,56.177,56.597,56.979,57.352,57.737,58.142,58.563,58.981,59.38,59.759,60.111,60.426,60.708,60.972,61.235,61.53,61.901,62.366,62.931,63.586,64.301,65.032,65.731,66.362,66.911,67.375,67.77,68.13,68.479,68.827,69.175,69.516,69.843,70.149,70.439,70.721,71.006,71.304,71.618,71.949,72.293,72.641,72.984,73.31,73.615,73.895,74.147,74.375,74.584,74.777,74.959
Gabon,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,,,,,35.97,36.255,36.798,37.287,37.722,38.106,38.442,38.74,39.012,39.284,39.584,39.942,40.387,40.937,41.597,42.355,43.189,44.062,44.942,45.813,46.662,47.488,48.303,49.115,49.925,50.736,51.552,52.376,53.207,54.042,54.884,55.738,56.598,57.449,58.271,59.037,59.72,60.3,60.765,61.108,61.328,61.433,61.447,61.392,61.285,61.124,60.903,60.627,60.312,59.99,59.706,59.512,59.436,59.495,59.692,60.016,60.437,60.909,61.391,61.859,62.298
Gambia,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,,,,31.179,31.305,31.556,31.808,32.06,32.312,32.562,32.812,33.059,33.3,33.536,33.766,33.997,34.24,34.513,34.85,35.286,35.839,36.515,37.309,38.202,39.166,40.161,41.152,42.121,43.058,43.967,44.863,45.753,46.634,47.503,48.36,49.196,49.997,50.747,51.417,51.977,52.415,52.736,52.949,53.081,53.164,53.237,53.334,53.475,53.67,53.919,54.202,54.502,54.813,55.128,55.44,55.746,56.047,56.339,56.628,56.918,57.215,57.522,57.839,58.163
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.799,60,60.401,60.802,61.202,61.602,62.003,62.403,62.805,63.208,63.614,64.024,64.437,64.852,65.265,65.67,66.061,66.434,66.786,67.118,67.436,67.751,68.068,68.389,68.706,69.002,69.254,69.449,69.579,69.652,69.686,69.706,69.741,69.807,69.909,70.039,70.18,70.308,70.407,70.474,70.512,70.53,70.544,70.571,70.62,70.706,70.841,71.022,71.244,71.498,71.768,72.032,72.273,72.48,72.651,72.792,72.917,73.045,73.19,73.356,73.54
Germany,38.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.37,,,,,,,,,,39.44,,,,,,,,,,42.38,,,,,,,,,,45.45,,,,,,49,,,,40.52,,,,,,,,,,57.42,,,,,,,,,,61.5,,,,62.5998647430117,62.259738503156,62.1930996393147,59.6359603246168,57.7633250676285,52.6565329125338,46.125,60.51136,,,,66.776,66.963,67.332,67.687,68.03,68.361,68.678,68.982,69.27,69.539,69.787,70.011,70.207,70.375,70.515,70.624,70.698,70.744,70.771,70.792,70.826,70.895,71.01,71.177,71.399,71.667,71.97,72.287,72.601,72.901,73.18,73.434,73.671,73.895,74.111,74.324,74.541,74.766,75.003,75.25,75.39,75.61,76.07,76.15,76.47,76.66,76.9,77.35,77.7,77.94,78.21,78.58,78.67,78.75,79.34,79.48,79.81,79.98,80.06,80.103,80.263
Ghana,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,40.158,40.573,41.379,42.135,42.839,43.493,44.096,44.647,45.146,45.592,45.985,46.327,46.622,46.88,47.114,47.343,47.587,47.858,48.165,48.513,48.906,49.339,49.798,50.267,50.737,51.194,51.63,52.04,52.423,52.777,53.104,53.403,53.685,53.962,54.244,54.556,54.923,55.35,55.83,56.344,56.85,57.293,57.637,57.862,57.975,57.999,57.975,57.962,58.008,58.142,58.39,58.764,59.241,59.794,60.405,61.046,61.689,62.307,62.88,63.394,63.842
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,,,,,37.1,,,,,37.7,,,,,38.5,,,,,39.4,,,,,40.4,,,,,41.2,,,,,,,,,,,,,44.65192,,45.2,,,,,48.2,46.17488,49.9684,,,50.5,,,,,52.8,,,54.33568,,,,,,,,,,64.971,65.201,65.653,66.09,66.511,66.917,67.307,67.682,68.043,68.39,68.726,69.051,69.368,69.677,69.981,70.28,70.573,70.859,71.138,71.412,71.681,71.946,72.207,72.467,72.728,72.994,73.268,73.551,73.844,74.146,74.455,74.773,75.095,75.414,75.726,76.021,76.291,76.534,76.746,76.929,77.083,77.211,77.322,77.424,77.525,77.636,77.767,77.921,78.098,78.292,78.497,78.7,78.888,79.053,79.192,79.308,79.407,79.499,79.594,79.694,79.801
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.442,62.489,62.583,62.678,62.774,62.87,62.967,63.065,63.163,63.261,63.36,63.458,63.557,63.655,63.752,63.85,63.947,64.044,64.141,64.238,64.335,64.432,64.527,64.621,64.714,64.802,64.879,64.946,65.008,65.074,65.156,65.266,65.415,65.616,65.878,66.217,66.646,67.161,67.746,68.384,69.045,69.698,70.316,70.878,71.374,71.805,72.183,72.535,72.877,73.215,73.548,73.87,74.17,74.442,74.687,74.906,75.102,75.284,75.457,75.625,75.791
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.004,52.426,53.259,54.068,54.854,55.615,56.354,57.07,57.765,58.443,59.105,59.756,60.398,61.033,61.66,62.277,62.879,63.462,64.023,64.563,65.083,65.587,66.081,66.568,67.051,67.529,68.001,68.466,68.921,69.367,69.802,70.229,70.647,71.057,71.461,71.858,72.248,72.633,73.011,73.383,73.749,74.11,74.466,74.817,75.162,75.503,75.839,76.17,76.496,76.817,77.137,77.459,77.783,78.106,78.423,78.724,78.998,79.236,79.437,79.599,79.731
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.979,56.227,56.725,57.228,57.735,58.246,58.761,59.279,59.8,60.321,60.84,61.355,61.863,62.362,62.85,63.326,63.791,64.245,64.689,65.124,65.548,65.962,66.363,66.752,67.13,67.496,67.851,68.196,68.532,68.859,69.176,69.484,69.781,70.069,70.347,70.617,70.88,71.138,71.392,71.642,71.887,72.127,72.361,72.587,72.808,73.024,73.237,73.45,73.663,73.875,74.086,74.294,74.496,74.692,74.882,75.066,75.247,75.426,75.606,75.786,75.965
Guatemala,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.81936,,,,,,,,,,,,,25.8,,,,,,30.35248,,,,,,,,,,41.924,42.064,42.359,42.683,43.037,43.421,43.833,44.274,44.741,45.233,45.745,46.276,46.822,47.382,47.956,48.554,49.187,49.86,50.568,51.302,52.042,52.764,53.448,54.081,54.655,55.169,55.629,56.055,56.463,56.867,57.277,57.702,58.145,58.607,59.09,59.592,60.108,60.631,61.157,61.682,62.207,62.736,63.271,63.815,64.365,64.925,65.496,66.075,66.654,67.223,67.766,68.266,68.714,69.106,69.442,69.73,69.982,70.216,70.447,70.681,70.924
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,31.359,31.408,31.508,31.611,31.717,31.826,31.936,32.047,32.157,32.263,32.363,32.453,32.535,32.612,32.694,32.793,32.924,33.101,33.33,33.616,33.962,34.362,34.806,35.28,35.776,36.284,36.798,37.315,37.83,38.339,38.841,39.335,39.825,40.312,40.798,41.283,41.768,42.253,42.735,43.213,43.677,44.116,44.527,44.914,45.284,45.656,46.054,46.493,46.984,47.528,48.116,48.735,49.363,49.979,50.574,51.141,51.678,52.193,52.692,53.175,53.643
Guinea-Bissau,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,31.981,32.112,32.373,32.636,32.901,33.167,33.435,33.704,33.974,34.246,34.517,34.789,35.06,35.331,35.601,35.87,36.14,36.411,36.683,36.954,37.22,37.474,37.715,37.945,38.17,38.404,38.665,38.962,39.3,39.673,40.072,40.48,40.875,41.242,41.572,41.858,42.102,42.313,42.503,42.677,42.842,43.002,43.163,43.328,43.503,43.694,43.905,44.135,44.38,44.639,44.904,45.166,45.417,45.658,45.892,46.128,46.381,46.662,46.979,47.333,47.72
Guyana,31.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12,,,,,,,,,,34.6224,,,,,,,,,41.4224,,,,,,,,,,,,,,,,,,,,48.122,48.401,48.95,49.484,50.004,50.508,50.996,51.467,51.919,52.347,52.748,53.119,53.458,53.77,54.061,54.347,54.645,54.968,55.322,55.708,56.117,56.537,56.951,57.343,57.707,58.042,58.354,58.649,58.935,59.211,59.471,59.708,59.917,60.097,60.25,60.381,60.493,60.597,60.705,60.824,60.965,61.133,61.331,61.561,61.827,62.136,62.49,62.887,63.324,63.796,64.306,64.857,65.442,66.051,66.669,67.274,67.846,68.371,68.841,69.253,69.611
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.245,36.574,37.228,37.87,38.502,39.124,39.736,40.339,40.932,41.518,42.097,42.672,43.24,43.802,44.353,44.886,45.392,45.866,46.307,46.716,47.098,47.459,47.811,48.161,48.518,48.887,49.27,49.666,50.072,50.486,50.906,51.326,51.743,52.156,52.563,52.969,53.381,53.803,54.236,54.678,55.124,55.57,56.006,56.425,56.82,57.18,57.494,57.763,57.995,58.201,58.4,58.617,58.87,59.169,59.516,59.902,60.31,60.718,61.106,61.466,61.795
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,,,,,,,,,,,,,,,,40.665,40.885,41.342,41.835,42.366,42.932,43.533,44.167,44.828,45.51,46.202,46.897,47.582,48.249,48.895,49.516,50.113,50.694,51.269,51.845,52.43,53.031,53.653,54.299,54.97,55.668,56.39,57.13,57.882,58.642,59.413,60.197,60.994,61.797,62.594,63.364,64.086,64.745,65.337,65.864,66.339,66.786,67.228,67.68,68.144,68.61,69.057,69.466,69.822,70.124,70.379,70.596,70.797,70.997,71.208,71.437,71.689,71.962,72.247,72.541,72.837
