Life expectancy at birth,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Belarus,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.022,65.247,65.692,66.125,66.548,66.958,67.357,67.742,68.111,69.06,71.85,72.57,71.29,71.95,73.48,73.02,73.38,73.13,73.24,72.84,72.32,72.96,72.67,72.71,73.01,72.08,71.92,71.86,71.72,71.32,71.08,71.36,71.49,71.28,70.65,70.86,72.25,72.15,71.89,71.68,71.14,70.58,70.16,69.05,68.81,68.42,68.56,68.37,68.37,67.97,68.99,68.61,68.17,68.71,69.09,68.84,69.51,70.41,69.194,69.823,70.087
Belgium,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.33,38.66,40.36,41.9,41.03,37.83,35.11,38.04,34.5,42.28,41.88,41.77,41.33,39.78,37.49,40.92,40.49,40.18,38.98,45.12,41.27,43.12,41.33,39.81,37.74,32.47,43.08,42.56,42.58,40.92,34.35,40.04,43.48,44.67,42.17,43.68,44.48,44.24,43.84,42.48,44.42,45.54,44.89,44.24,45.48,43.36,46.06,44.92,45.07,44.14,44.06,43.16,44.44,46.65,45.46,48.06,48.82,48.12,46.49,46.59,49.44,49.18,49.26,49.32,50.01,49.74,51.11,49.7,50.7,51.37,49.25,52.26,52.51,,,,,,49.86,53.66,54.75,55.15,56.77,57.51,57.16,56.97,57.2,57.53,55.07,57.17,58.51,58.59,58.76,60.42,60.01,60.01,60,60.15,60.01,55.96,58.95,59.2,60.39,56.94,58.39,61.92,63.46,64.98,65.48,66.35,66.8,68,68.37,68.63,68.58,68.87,69.24,69.93,70.33,69.65,70.52,70.25,70.06,70.73,70.58,70.65,70.94,70.63,70.71,70.97,71.1,71.44,71.65,72.01,72,72.15,72.8,72.75,73.24,73.29,73.7,73.93,73.93,74.43,74.54,74.74,75.35,75.66,75.73,76.14,76.3,76.46,76.47,76.82,76.97,77.31,77.53,77.62,77.8,77.91,78.22,78.32,78.47,79.12,79.21,79.55,79.49,79.777,79.876,79.96
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.09,56.361,56.898,57.426,57.944,58.454,58.956,59.451,59.941,60.429,60.92,61.417,61.924,62.442,62.97,63.504,64.039,64.567,65.084,65.586,66.072,66.542,67,67.447,67.882,68.305,68.713,69.105,69.479,69.834,70.168,70.481,70.774,71.047,71.301,71.537,71.755,71.955,72.141,72.312,72.471,72.619,72.755,72.881,73,73.108,73.202,73.282,73.354,73.427,73.514,73.634,73.796,74.003,74.253,74.535,74.83,75.119,75.388,75.633,75.857
Benin,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,31.772,32.012,32.484,32.938,33.375,33.795,34.196,34.579,34.944,35.289,35.616,35.926,36.223,36.518,36.824,37.163,37.562,38.032,38.574,39.184,39.846,40.537,41.229,41.895,42.52,43.093,43.613,44.091,44.536,44.951,45.334,45.682,45.999,46.291,46.571,46.855,47.162,47.501,47.88,48.297,48.749,49.223,49.703,50.171,50.618,51.034,51.415,51.763,52.083,52.38,52.653,52.908,53.15,53.389,53.634,53.896,54.186,54.507,54.86,55.244,55.654
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.036,36.039,36.057,36.099,36.165,36.256,36.37,36.509,36.672,36.86,37.072,37.31,37.573,37.862,38.176,38.516,38.881,39.27,39.683,40.12,40.581,41.066,41.575,42.106,42.659,43.231,43.824,44.435,45.06,45.694,46.326,46.946,47.551,48.14,48.719,49.295,49.88,50.489,51.133,51.816,52.543,53.312,54.117,54.948,55.801,56.678,57.587,58.522,59.472,60.421,61.341,62.204,62.99,63.69,64.299,64.822,65.275,65.681,66.066,66.44,66.813
Bolivia,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,33,,,,,,,,,,39.856,39.997,40.279,40.564,40.853,41.144,41.439,41.737,42.037,42.341,42.648,42.957,43.27,43.585,43.903,44.219,44.526,44.825,45.122,45.426,45.754,46.125,46.552,47.043,47.603,48.231,48.921,49.656,50.419,51.197,51.979,52.756,53.524,54.278,55.011,55.716,56.392,57.04,57.661,58.254,58.815,59.341,59.833,60.293,60.726,61.134,61.525,61.902,62.271,62.636,62.999,63.36,63.716,64.066,64.41,64.746,65.073,65.391,65.701,66.006,66.31
Bosnia and Herzegovina,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.683,52.242,53.335,54.379,55.373,56.318,57.214,58.062,58.862,59.617,60.33,61.005,61.647,62.26,62.852,63.427,63.991,64.544,65.088,65.625,66.162,66.702,67.244,67.781,68.303,68.797,69.245,69.636,69.963,70.225,70.452,70.686,70.942,71.207,71.439,71.501,71.219,70.526,69.45,68.101,66.738,65.692,65.214,65.44,66.364,67.846,69.628,71.377,72.832,73.881,74.494,74.733,74.776,74.776,74.785,74.84,74.948,75.082,75.221,75.366,75.517
Botswana,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,46.823,47.032,47.448,47.862,48.273,48.682,49.088,49.489,49.886,50.274,50.652,51.017,51.371,51.715,52.056,52.406,52.774,53.17,53.603,54.076,54.594,55.161,55.767,56.4,57.05,57.702,58.342,58.958,59.543,60.091,60.61,61.116,61.617,62.113,62.591,63.044,63.467,63.833,64.103,64.234,64.152,63.779,63.091,62.096,60.823,59.302,57.575,55.744,53.929,52.245,50.852,49.902,49.433,49.43,49.849,50.568,51.415,52.209,52.812,53.166,53.27
Brazil,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9768,,,,,,,,,,32,,,,,,,,,,36.64072,,,,,42.3,,,,,49.959,50.191,50.657,51.128,51.603,52.083,52.566,53.051,53.538,54.022,54.5,54.968,55.421,55.858,56.278,56.681,57.069,57.448,57.821,58.192,58.564,58.941,59.322,59.707,60.097,60.491,60.888,61.284,61.679,62.071,62.46,62.846,63.229,63.61,63.99,64.37,64.751,65.133,65.517,65.904,66.295,66.693,67.097,67.505,67.914,68.319,68.715,69.098,69.464,69.812,70.14,70.445,70.734,71.01,71.279,71.551,71.837,72.141,72.464,72.802,73.148
