Barbados,,,,,,,,,,,,,,,,,,,81729,,,,,,,,,,,,,,,,,,,,81729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136000,,,,,,,,,,153000,,,,,,,,,,162000,,,,,,,,,,172000,,,,,,,,,,183000,,,,,,,,,,196000,,,,,,,,,,172000,,,,,,,,,,157000,,,,,,,,,,,,,,,,,,,,,,,,,194000,,,,210995,215673,219587,222747,225194,226999,228265,229123,229728,230248,230831,231574,232490,233496,234455,235271,235912,236443,236974,237657,238593,239841,241345,242949,244433,245646,246523,247128,247589,248101,248796,249716,250809,252017,253244,254419,255532,256602,257621,258588,259501,260351,261136,261885,262637,263416,264237,265088,265941,266758,267511,268192,268813,269389,269947,270503,271062,271618,272180,272750,273331,273925,274530,275141
Belarus,,,,,,,,,,,,,,,,,,,2355081,,,,,,,,,,,,,,,,,,,,2355081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7745003,7717670,7710974,7724055,7755530,7803500,7865511,7938588,8019355,8104231,8190006,8274466,8356938,8438517,8521413,8607003,8695396,8785093,8874033,8959479,9039503,9113454,9181971,9246050,9307285,9367004,9425089,9481560,9538046,9596589,9658500,9724106,9792555,9862430,9931687,9998503,10062440,10122880,10177584,10223861,10259700,10284522,10298479,10301336,10293127,10274231,10244354,10204382,10157409,10107518,10057810,10009810,9963383,9917927,9872110,9825102,9776823,9728228,9680690,9636016,9595421,9559441,9527498,9498290
Belgium,2000000,,,,,,,,,,,,,,,,,,3138137,,,,,,,,,,,,,,,,,,,,3434000,3464000,3495000,3526000,3557000,3589000,3620000,3652000,3685000,3717000,3750000,3782000,3814000,3846000,3879000,3912000,3945000,3978000,4012000,4046000,4080000,4115000,4151000,4187000,4223000,4259000,4296000,4333000,4371000,4408000,4449000,4477000,4506000,4534000,4563000,4592000,4621000,4651000,4680000,4710000,4740000,4774000,4809000,4844000,4879000,4915000,4950000,4986000,5023000,5029000,5096000,5137000,5178000,5219000,5261000,5303000,5345000,5394000,5442000,5492000,5541000,5606000,5673000,5740000,5807000,5876000,5919000,5962000,6007000,6051000,6096000,6164000,6231000,6300000,6370000,6439000,6494000,6548000,6604000,6662000,6719000,6801000,6903000,6997000,7086000,7175000,7258000,7338000,7411000,7478000,7498000,7517000,7590000,7666000,7723000,7759000,7762000,7729000,7660000,7628000,7552000,7504000,7571000,7635000,7707000,7779000,7844000,7904000,7968000,8032000,8076000,8126000,8186000,8231000,8262000,8288000,8315000,8346000,8374000,8392000,8346000,8276000,8247000,8242000,8291000,8339000,8367000,8450000,8557000,8614000,8628489,8665736,8710135,8759521,8812159,8866744,8922420,8978760,9035709,9093483,9152271,9211920,9271655,9329967,9384939,9435244,9479970,9519500,9555402,9590007,9624908,9660688,9696539,9730978,9761867,9787677,9808403,9824685,9836487,9843898,9847297,9846320,9841800,9836784,9835279,9840123,9852488,9871551,9895654,9922158,9949019,9976325,10004469,10032084,10057529,10079873,10098192,10113392,10128653,10148371,10175684,10211264,10254025,10303108,10356993,10414209,10474993,10538758,10602167,10660938,10712066,10754056,10787788,10815599
Belize,,,,,,,,,,,,,,,,,,,25526,,,,,,,,,,,,,,,,,,,,25526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,,,,,,,,,,25000,,,,,,,,,,27000,,,,,,,,,,31000,,,,,,,,,,37000,,,,,,,,,,40000,,,,,,,,,,45000,,,,,,,,,,51000,,,,,,,,,,,,,,,59000,,,,68918,71147,73295,75437,77630,79909,82294,84781,87354,89981,92633,95294,97972,100707,103555,106546,109704,112987,116283,119435,122336,124973,127389,129600,131642,133562,135334,137009,138806,141014,143829,147358,151535,156171,160991,165792,170504,175192,179952,184935,190241,195895,201832,207962,214153,220311,226403,232446,238457,244471,250512,256582,262667,268760,274855,280947,287035,293124,299237,305398,311627,317928,324292,330721
Benin,,,,,,,,,,,,,,,,,,,636559,,,,,,,,,,,,,,,,,,,,636559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255222,2258097,2264492,2274125,2286767,2302243,2320433,2341271,2364737,2390851,2419644,2451123,2485248,2521922,2561022,2602490,2646310,2692610,2741672,2793872,2849508,2908713,2971515,3037990,3108179,3182130,3259918,3341618,3427274,3516917,3610578,3708675,3811326,3917941,4027682,4140176,4254522,4371470,4494242,4627194,4773137,4934077,5108335,5290562,5473217,5651141,5821985,5988093,6154708,6329476,6517810,6721337,6937985,7164976,7397985,7633757,7871707,8112573,8355980,8601771,8849892,9099922,9351838,9606534
Bermuda,,8774,,,,,,,,,,,,,,,,,9692,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,9125,8118,,,,,,,,,10000,,,,,,,,11000,,,,,,,,,,12000,,,,,,,,,,12000,,,,,,,,,,14000,,,,,,,,,,15000,,,,,,,,,,18000,,,,,,,,,,19000,,,,,,,,,,20000,,,,,,,,,,28000,,,,,,,,31000,,,,,,,,,,,37260,37793,38424,39122,39865,40637,41426,42228,43041,43868,44713,45573,46436,47286,48092,48839,49516,50128,50690,51230,51765,52301,52831,53347,53832,54278,54682,55051,55396,55730,56064,56400,56739,57084,57441,57812,58201,58606,59016,59416,59795,60150,60483,60799,61104,61405,61701,61990,62275,62555,62834,63112,63388,63655,63905,64130,64328,64502,64657,64802,64941,65077,65208,65335
Bhutan,,,,,,,,,,,,,,,,,,,89989,,,,,,,,,,,,,,,,,,,,89989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168377,174400,180287,186067,191769,197421,203054,208696,214379,220133,225993,232000,238201,244653,251419,258559,266072,274000,282495,291747,301879,312929,324815,337370,350365,363603,377068,390732,404375,417734,430633,442648,453793,464831,476846,490438,506423,524133,540918,553157,558500,555747,546356,533895,523417,518584,520529,528222,540507,555377,571262,588050,606024,624431,642400,659293,674681,688581,701363,713665,725940,738267,750443,762313
Bolivia,,,,,,,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374000,,,,,,,,,,,,,,,,,,,,1495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696000,1710000,1723000,1737000,1751000,1765000,1779000,1793000,1808000,1822000,1837000,1851000,1866000,1881000,1915000,1951000,1986000,2023000,2060000,2098000,2136000,2161000,2186000,2212000,2237000,2263000,2289000,2316000,2343000,2370000,2397000,2425000,2453000,2482000,2511000,2540000,2569000,2599000,2629000,2659000,2690000,2721000,2753000,2785000,2817000,2850000,2883000,2916000,2950000,2984000,2713630,2767960,2824538,2883362,2944416,3007667,3073070,3140563,3210075,3281534,3354895,3430160,3507408,3586804,3668568,3752892,3839751,3929192,4021551,4117259,4216572,4319564,4426012,4535500,4647442,4761344,4877275,4995172,5114274,5233624,5352649,5471025,5589245,5708585,5830816,5957291,6088253,6223523,6363470,6508417,6658462,6813834,6974168,7138204,7304230,7470925,7637622,7804333,7971237,8138802,8307248,8476709,8646659,8815911,8982917,9146655,9306660,9463497,9618466,9773441,9929849,10088108,10248042,10409761
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,851806,,,,,,,,,,,,,,,,,,,,851806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2661293,2720515,2779107,2836208,2891241,2943905,2994194,3042383,3088980,3134654,3180020,3225391,3270585,3314827,3357005,3396402,3432671,3466307,3498470,3530780,3564389,3599885,3636930,3674638,3711662,3747109,3780559,3812557,3844329,3877598,3913536,3949509,3984259,4021590,4066739,4121595,4194370,4279632,4349682,4367069,4308197,4157485,3931372,3677379,3462032,3332098,3305672,3365616,3480285,3601438,3693698,3748370,3775883,3782717,3781358,3781001,3781588,3779034,3774164,3767683,3760149,3752228,3744235,3735880
Botswana,,,,,,,,,,,,,,,,,,,121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121000,,,,,,,125000,,,,,,,,,,153000,,,,,,,,,,,,,,,266000,,,,,,,,,,296000,,,,412533,425268,437177,448428,459195,469656,479998,490411,501090,512228,523997,536540,549953,564277,579518,595697,612903,631226,650676,671247,692959,715745,739683,765101,792432,821942,853774,887716,923234,959584,996211,1032889,1069707,1106802,1144442,1182803,1221790,1261235,1301146,1341540,1382371,1423570,1464924,1506037,1546414,1585637,1623704,1660538,1695587,1728179,1757925,1784449,1808103,1830127,1852243,1875673,1900905,1927540,1954822,1981576,2006945,2030738,2053237,2074616
